isRentalCommunity,agent_name,bathrooms,price_per_sqft,street,neighborhood,city,listing_id,state_code,isSrpFeatured,apt_number,isRental,state,latitude,location_Id,zip_code,status,build_year,price,bedrooms,address,house_type,hasStreetView,neighborhood_ID,street_number,url,sqft,dmaId,longitude,partial_bathrooms,type_house,siteID,isForeclosure,type_display
False,Frank Nolan,6,0,Laidley St,Glen Park,San Francisco,3151995738,CA,False,,False,California,37.740437,77539,94131,For Sale,2017,5500000,5,"80 Laidley Street, San Francisco, CA",Single-Family Home,-1,1413,80,https://www.trulia.com/property/3151995738-80-Laidley-St-San-Francisco-CA-94131,,37,-122.43132,,SINGLE-FAMILY HOME,205608772,False,Single-Family Home
False,Missy Wyant Smit,3,945.8414,Alvarado St,Noe Valley,San Francisco,3064219239,CA,False,,False,California,37.753094,77522,94114,For Sale,1902,2445000,3,"877 Alvarado Street, San Francisco, CA",Single-Family Home,-1,1443,877,https://www.trulia.com/property/3064219239-877-Alvarado-St-San-Francisco-CA-94114,2585,37,-122.44029,,SINGLE-FAMILY HOME,2275398103,False,Single-Family Home
False,kevin Kropp,1,1195.2863,Lombard St,Fisherman's Wharf,San Francisco,3259259000,CA,False,614,False,California,37.804245,77520,94111,Pending,1992,710000,1,"220 Lombard Street #614, San Francisco, CA",Condo,-1,1408,220,https://www.trulia.com/property/3259259000-220-Lombard-St-614-San-Francisco-CA-94111,594,37,-122.4055,,CONDO,205608772,False,Condo
False,Luke O'Brien,5,0,Broadway,Pacific Heights,San Francisco,35637214,CA,False,,False,California,37.795013,77518,94109,For Sale,1892,4999000,7,"1805 Broadway, San Francisco, CA",Single-Family Home,-1,1450,1805,https://www.trulia.com/property/35637214-1805-Broadway-San-Francisco-CA-94109,,37,-122.42703,,SINGLE-FAMILY HOME,1238105683,False,Single-Family Home
False,Fred Villanova,5,2208.838,Taylor St,Russian Hill,San Francisco,3246229684,CA,True,805,False,California,37.798607,77541,94133,For Sale,1963,7298000,4,"1750 Taylor Street #805, San Francisco, CA",Coop,-1,1456,1750,https://www.trulia.com/property/3246229684-1750-Taylor-St-805-San-Francisco-CA-94133,3304,37,-122.41321,1,COOP,176412660,False,Coop
False,Greg Fulford,3,970.09344,18th St,Castro,San Francisco,3259228974,CA,False,,False,California,37.760586,77522,94114,For Sale,,2595000,4,"4662 18th Street, San Francisco, CA",Condo,-1,1394,4662,https://www.trulia.com/property/3259228974-4662-18th-St-San-Francisco-CA-94114,2675,37,-122.44221,,CONDO,205608772,False,Condo
False,Flannan Lum,4,847.2419,Cerritos Ave,Ingleside Terrace,San Francisco,3255247622,CA,False,,False,California,37.726036,77535,94127,For Sale,1925,2995000,5,"135 Cerritos Avenue, San Francisco, CA",Single-Family Home,-1,1421,135,https://www.trulia.com/property/3255247622-135-Cerritos-Ave-San-Francisco-CA-94127,3535,37,-122.46988,,SINGLE-FAMILY HOME,205608772,False,Single-Family Home
False,Jesse Fowler,2,0,Taylor St,Nob Hill,San Francisco,3169666922,CA,False,,False,California,37.796227,77541,94133,For Sale,,1199000,2,"1505 Taylor Street, San Francisco, CA",Unspecified,-1,1442,1505,https://www.trulia.com/property/3169666922-1505-Taylor-St-San-Francisco-CA-94133,,37,-122.41357,,UNKNOWN,120271,False,Unspecified
False,Deborah Nattrass,2,832.5397,Los Palmos Dr,Miraloma,San Francisco,1080982716,CA,False,,False,California,37.73519,77535,94127,Pending,1956,1049000,3,"64 Los Palmos Drive, San Francisco, CA",Single-Family Home,-1,1435,64,https://www.trulia.com/property/1080982716-64-Los-Palmos-Dr-San-Francisco-CA-94127,1260,37,-122.44719,,SINGLE-FAMILY HOME,2275766399,False,Single-Family Home
False,Andrew de Vries,2,927.4978,17th St,Buena Vista Park,San Francisco,3086078793,CA,False,B,False,California,37.76234,77522,94114,For Sale,1989,1049000,2,"4322 17th Street #B, San Francisco, CA",Condo,-1,1393,4322,https://www.trulia.com/property/3086078793-4322-17th-St-B-San-Francisco-CA-94114,1131,37,-122.44106,,CONDO,2274401221,False,Condo
